Date,Return
08/09/2011,0.05016
08/08/2011,-0.05703
08/05/2011,0.00263
08/04/2011,-0.03934
08/03/2011,0.01480
08/02/2011,-0.02368
08/01/2011,0.00510
07/29/2011,-0.01187
07/28/2011,0.00613
07/27/2011,-0.02458
07/26/2011,0.00572
07/25/2011,0.00121
07/22/2011,0.01852
07/21/2011,0.01955
07/20/2011,-0.01195
07/19/2011,0.01279
07/18/2011,-0.00448
07/15/2011,0.12984
07/14/2011,-0.01732
07/13/2011,0.00796
07/12/2011,0.01276
07/11/2011,-0.00885
07/08/2011,-0.02673
07/07/2011,0.02100
07/06/2011,0.00548
07/05/2011,0.02190
07/01/2011,0.02893
06/30/2011,0.01771
06/29/2011,0.00794
06/28/2011,0.02247
06/27/2011,0.01668
06/24/2011,-0.01112
06/23/2011,-0.01394
06/22/2011,-0.01215
06/21/2011,0.01738
06/20/2011,-0.00091
06/17/2011,-0.03068
06/16/2011,-0.00513
06/15/2011,-0.01066
06/14/2011,0.00721
06/13/2011,-0.00938
06/10/2011,-0.01397
06/09/2011,-0.00470
06/08/2011,0.00027
06/07/2011,-0.00390
06/06/2011,-0.00386
06/03/2011,-0.00943
06/02/2011,0.00468
06/01/2011,-0.00646
05/31/2011,0.01559
05/27/2011,0.00535
05/26/2011,-0.00296
05/25/2011,0.00272
05/24/2011,-0.00025
05/23/2011,-0.01076
05/20/2011,-0.01359
05/19/2011,0.00272
05/18/2011,-0.00123
05/17/2011,0.02322
05/16/2011,-0.02102
05/13/2011,-0.01028
05/12/2011,-0.00075
05/11/2011,-0.01329
05/10/2011,0.00926
05/09/2011,0.00445
05/06/2011,0.00193
05/05/2011,-0.00284
05/04/2011,0.00356
05/03/2011,-0.00867
05/02/2011,-0.01018
04/29/2011,0.01139
04/28/2011,0.00039
04/27/2011,0.00927
04/26/2011,0.01480
04/25/2011,-0.00010
04/21/2011,-0.00120
04/20/2011,0.00805
04/19/2011,-0.01008
04/18/2011,-0.00727
04/15/2011,-0.08264
04/14/2011,0.00387
04/13/2011,0.00994
04/12/2011,-0.01171
04/11/2011,-0.00137
04/08/2011,-0.00317
04/07/2011,0.01014
04/06/2011,0.00894
04/05/2011,-0.03163
04/04/2011,-0.00696
04/01/2011,0.00859
03/31/2011,0.00846
03/30/2011,0.00019
03/29/2011,0.01107
03/28/2011,-0.00756
03/25/2011,-0.01218
03/24/2011,0.00812
03/23/2011,0.00838
03/22/2011,0.00142
03/21/2011,0.02752
03/18/2011,-0.00053
03/17/2011,0.00765
03/16/2011,-0.02188
03/15/2011,-0.00075
03/14/2011,-0.01165
03/11/2011,-0.00619
03/10/2011,-0.01938
03/09/2011,-0.00091
03/08/2011,0.00110
03/07/2011,-0.01492
03/04/2011,-0.01467
03/03/2011,0.01460
03/02/2011,0.00005
03/01/2011,-0.02061
02/28/2011,0.00551
02/25/2011,0.00200
02/24/2011,-0.00409
02/23/2011,0.00182
02/22/2011,-0.03154
02/18/2011,0.00771
02/17/2011,0.00167
02/16/2011,0.00011
02/15/2011,-0.00637
02/14/2011,0.00584
02/11/2011,0.01308
02/10/2011,-0.00010
02/09/2011,-0.00304
02/08/2011,0.00666
02/07/2011,0.00542
02/04/2011,0.00136
02/03/2011,-0.00302
02/02/2011,0.00157
02/01/2011,0.01779
01/31/2011,-0.00105
01/28/2011,-0.02562
01/27/2011,0.00047
01/26/2011,-0.00550
01/25/2011,0.01445
01/24/2011,-0.00123
01/21/2011,-0.02384
01/20/2011,-0.00788
01/19/2011,-0.01232
01/18/2011,0.02475
01/14/2011,0.01215
01/13/2011,-0.00029
01/12/2011,0.00140
01/11/2011,0.00293
01/10/2011,-0.00362
01/07/2011,0.00479
01/06/2011,0.00727
01/05/2011,0.01154
01/04/2011,-0.00369
01/03/2011,0.01748
12/31/2010,-0.00817
12/30/2010,-0.00356
12/29/2010,0.00347
12/28/2010,-0.00574
12/27/2010,-0.00306
12/23/2010,-0.00208
12/22/2010,0.00401
12/21/2010,0.01346
12/20/2010,0.00721
12/17/2010,-0.00154
12/16/2010,0.00239
12/15/2010,-0.00775
12/14/2010,0.00049
12/13/2010,0.00407
12/10/2010,0.00120
12/09/2010,0.00163
12/08/2010,0.00579
12/07/2010,0.01518
12/06/2010,0.00935
12/03/2010,0.00206
12/02/2010,0.01324
12/01/2010,0.01555
11/30/2010,-0.04535
11/29/2010,-0.01337
11/26/2010,-0.00835
11/24/2010,0.02051
11/23/2010,-0.01389
11/22/2010,0.00066
11/19/2010,-0.00960
11/18/2010,0.02229
11/17/2010,-0.00029
11/16/2010,-0.01973
11/15/2010,-0.01296
11/12/2010,-0.02252
11/11/2010,-0.00914
11/10/2010,-0.00310
11/09/2010,-0.00311
11/08/2010,0.00270
11/05/2010,0.00130
11/04/2010,0.00659
11/03/2010,0.00744
11/02/2010,0.00098
11/01/2010,0.00212
10/29/2010,-0.00789
10/28/2010,0.00342
10/27/2010,-0.00344
10/26/2010,0.00341
10/25/2010,0.00648
10/22/2010,0.00088
10/21/2010,0.00660
10/20/2010,0.00025
10/19/2010,-0.01599
10/18/2010,0.02703
10/15/2010,0.11188
10/14/2010,-0.00436
10/13/2010,0.00353
10/12/2010,0.00473
10/11/2010,0.00464
10/08/2010,0.01196
10/07/2010,-0.00812
10/06/2010,-0.00721
10/05/2010,0.03040
10/04/2010,-0.00622
10/01/2010,-0.00032
09/30/2010,-0.00360
09/29/2010,0.00099
09/28/2010,-0.00611
09/27/2010,0.00592
09/24/2010,0.02689
09/23/2010,-0.00488
09/22/2010,0.00495
09/21/2010,0.01019
09/20/2010,0.03699
09/17/2010,0.01890
09/16/2010,0.00087
09/15/2010,0.00044
09/14/2010,-0.00382
09/13/2010,0.01287
09/10/2010,-0.00008
09/09/2010,0.01190
09/08/2010,0.01331
09/07/2010,-0.01255
09/03/2010,0.01537
09/02/2010,0.00619
09/01/2010,0.02291
08/31/2010,-0.00590
08/30/2010,-0.01338
08/27/2010,0.01741
08/26/2010,-0.00801
08/25/2010,0.00716
08/24/2010,-0.02732
08/23/2010,0.00444
08/20/2010,-0.01271
08/19/2010,-0.02941
08/18/2010,-0.01706
08/17/2010,0.01015
08/16/2010,-0.00156
08/13/2010,-0.01150
08/12/2010,0.00055
08/11/2010,-0.02376
08/10/2010,-0.00325
08/09/2010,0.01026
08/06/2010,-0.01551
08/05/2010,0.00352
08/04/2010,0.03366
08/03/2010,-0.00118
08/02/2010,0.01147
07/30/2010,-0.00029
07/29/2010,0.00132
07/28/2010,-0.01681
07/27/2010,0.00749
07/26/2010,-0.00222
07/23/2010,0.01083
07/22/2010,0.01531
07/21/2010,-0.00849
07/20/2010,0.03306
07/19/2010,0.01429
07/16/2010,-0.06965
07/15/2010,0.00545
07/14/2010,0.00437
07/13/2010,0.02810
07/12/2010,0.01784
07/09/2010,0.02394
07/08/2010,0.01413
07/07/2010,0.03240
07/06/2010,-0.00110
07/02/2010,-0.00669
07/01/2010,-0.01227
06/30/2010,-0.02049
06/29/2010,-0.03775
06/28/2010,-0.00127
06/25/2010,-0.00509
06/24/2010,-0.01442
06/23/2010,-0.00864
06/22/2010,-0.00473
06/21/2010,-0.02294
06/18/2010,-0.00010
06/17/2010,-0.00237
06/16/2010,0.00659
06/15/2010,0.03063
06/14/2010,-0.01087
06/11/2010,0.00306
06/10/2010,0.02740
06/09/2010,-0.02220
06/08/2010,-0.00152
06/07/2010,-0.02647
06/04/2010,-0.01361
06/03/2010,0.02479
06/02/2010,0.02280
06/01/2010,-0.00671
05/28/2010,-0.00985
05/27/2010,0.03153
05/26/2010,-0.00335
05/25/2010,-0.00019
05/24/2010,0.01083
05/21/2010,-0.00623
05/20/2010,-0.03928
05/19/2010,-0.00791
05/18/2010,-0.01890
05/17/2010,0.00087
05/14/2010,-0.00656
05/13/2010,0.01086
05/12/2010,-0.00719
05/11/2010,-0.02415
05/10/2010,0.05781
05/07/2010,-0.01109
05/06/2010,-0.02176
05/05/2010,0.00669
05/04/2010,-0.04567
05/03/2010,0.00932
04/30/2010,-0.01184
04/29/2010,0.00531
04/28/2010,0.00025
04/27/2010,-0.00485
04/26/2010,-0.02450
04/23/2010,-0.00378
04/22/2010,-0.01306
04/21/2010,-0.00133
04/20/2010,0.00898
04/19/2010,-0.00009
04/16/2010,-0.07584
04/15/2010,0.01070
04/14/2010,0.00380
04/13/2010,0.02451
04/12/2010,0.01150
04/09/2010,-0.00224
04/08/2010,0.00701
04/07/2010,-0.00824
04/06/2010,-0.00489
04/05/2010,0.00389
